Mean Annual Temperature,Mean Annual Precipition,Annual Respiration,Country
26,4200,1070,Costa Rica
26,4200,1480,Costa Rica
26,4200,1060,Costa Rica
26,4200,1450,Costa Rica
27,5000,1880,Costa Rica
27,5000,2310,Costa Rica
27,5000,2139,Costa Rica
25.8,3900,2030,Costa Rica
25.8,3900,1770,Costa Rica
25.8,3900,1610,Costa Rica
25.8,3900,1800,Costa Rica
25.8,3900,2360,Costa Rica
24.1,3980,1241,Costa Rica
24.1,3980,256,Costa Rica
25.8,3960,1740,Costa Rica
25.8,3960,1672,Costa Rica
25.8,3960,1354,Costa Rica
25.8,3960,1593,Costa Rica
25.8,3960,2018,Costa Rica
26.5,5000,1142,Costa Rica
26.5,5000,1293,Costa Rica
26.5,5000,1421,Costa Rica
6.6,683,500,Czech Republic
6.6,683,450,Czech Republic
6.6,683,440,Czech Republic
6.6,683,430,Czech Republic
6.6,683,450,Czech Republic
6.6,683,500,Czech Republic
6.6,683,540,Czech Republic
6.6,683,490,Czech Republic
6.6,683,500,Czech Republic
6.6,683,730,Czech Republic
6.6,683,640,Czech Republic
6.6,683,430,Czech Republic
6.6,683,340,Czech Republic
6.6,683,340,Czech Republic
6.6,683,610,Czech Republic
6.6,683,530,Czech Republic
6.6,683,470,Czech Republic
6.6,683,490,Czech Republic
6.6,683,430,Czech Republic
6.6,683,430,Czech Republic
7.8,720,229,Denmark
7.8,720,98,Denmark
8.3,1665,1378,Denmark
8.3,1665,907,Denmark
8.3,1665,1070,Denmark
7.5,783,541,Denmark
7.7,625,689,Denmark
7.8,658,636,Denmark
15,1200,1728,Ethiopia
15,1200,1944,Ethiopia
15,1200,1572,Ethiopia
15,1200,1620,Ethiopia
15,1200,1680,Ethiopia
15,1200,1872,Ethiopia
2.1,601,1040,Finland
3,700,850,Finland
3,700,907,Finland
2.3,525,682,Finland
2.9,709,518,Finland
2.9,709,572,Finland
2.9,709,581,Finland
2.9,709,560,Finland
2.9,709,496,Finland
2.9,709,535,Finland
2.9,709,541,Finland
-1,500,58,Finland
2,867,350,Finland
2,867,230,Finland
2,867,250,Finland
2.9,709,572,Finland
2.9,709,581,Finland
2.9,709,560,Finland
2.9,709,884,Finland
2.9,709,776,Finland
2.9,709,798,Finland
2.9,709,518,Finland
2.9,709,496,Finland
2.9,709,535,Finland
2.9,709,541,Finland
1.9,699,682,Finland
1.9,699,1091,Finland
1.9,699,818,Finland
1.9,699,982,Finland
1.9,699,1145,Finland
1.9,699,2755,Finland
1.9,699,2918,Finland
1.9,699,3900,Finland
9.2,820,660,France
9.2,820,660,France
9.7,913,528,France
9.7,913,527,France
9.2,820,620,France
9.2,820,575,France
9.2,820,663,France
10.5,1150,980,France
14.4,770,380,France
14.4,770,540,France
14.4,770,510,France
13.5,908,758,France
13.5,908,677,France
13.5,908,800,France
13.5,908,710,France
10.7,680,430,France
10.7,680,609,France
10.7,680,1137,France
26.7,2200,1923,French Guiana
26,2200,870,French Guiana
26,2200,1097,French Guiana
26,2200,946,French Guiana
6,1019,560,Germany
6,1019,560,Germany
5.8,890,710,Germany
5.8,890,710,Germany
5.8,890,710,Germany
10.7,700,444,Germany
7.2,1038,510,Germany
7.2,1038,630,Germany
8.4,837,420,Germany
8.4,837,700,Germany
7.2,1038,500,Germany
7.2,1038,600,Germany
8.4,837,400,Germany
8.4,837,580,Germany
7.5,1038,489,Germany
7.5,1038,512,Germany
7.5,900,515,Germany
8.4,837,594,Germany
8.4,837,420,Germany
8.4,837,539,Germany
7.5,1038,532,Germany
7.5,1038,508,Germany
7.5,900,543,Germany
8.4,837,578,Germany
8.4,837,396,Germany
8.4,837,517,Germany
6.4,1090,302,Germany
6.4,1090,321,Germany
6.4,1090,298,Germany
6.4,1090,313,Germany
6.4,1090,481,Germany
8.1,697,1570,Germany
8.1,697,634,Germany
8.4,899,892,Germany
8.4,899,870,Germany
8.4,899,876,Germany
5.3,1160,620,Germany
5.3,1160,510,Germany
5.3,1160,670,Germany
5.3,1160,570,Germany
5.3,1160,700,Germany
5.3,1160,590,Germany
5.3,1160,670,Germany
7.75,775,914,Germany
7.75,775,850,Germany
7.75,775,889,Germany
7.75,775,716,Germany
7.75,775,846,Germany
7.75,775,980,Germany
7.75,775,869,Germany
7.75,775,951,Germany
6.5,1090,271,Germany
6.5,1090,319,Germany
6.5,1090,395,Germany
6.5,1090,211,Germany
7.9,658,556,Germany
7.9,658,615,Germany
7.9,658,513,Germany
7.9,658,776,Germany
7.9,658,550,Germany
22.9,1593,590,India
24.5,661,470,India
25.2,928,638,India
26.9,1448,568,India
25.2,928,686,India
25.2,928,646,India
25.2,928,902,India
25.2,928,615,India
26,2490,980,Indonesia
26,2490,1680,Indonesia
10.1,974,1166,Ireland
22,270,192,Israel
18.1,780,758,Israel
17.7,540,634,Israel
17.7,540,715,Israel
17.7,540,600,Israel
18.4,300,429,Israel
18.4,300,564,Israel
18.4,300,472,Israel
19.1,90,177,Israel
14,755,1097,Italy
14.1,818,808,Italy
14.1,818,724,Italy
14.1,818,747,Italy
14.1,818,751,Italy
14.1,818,707,Italy
14.1,818,753,Italy
14.1,818,1096,Italy
14.1,818,1062,Italy
14.1,818,1117,Italy
14.1,818,1069,Italy
14.1,818,960,Italy
14.1,818,1011,Italy
4.2,1008,1066,Italy
6.7,1085,814,Italy
5.5,1189,1870,Italy
10,1365,1305,Italy
5.5,1189,1743,Italy
11.6,951,984,Italy
11.8,879,965,Italy
11,959,795,Italy
9.5,961,738,Italy
8.5,967,719,Italy
8.6,976,492,Italy
8.5,982,681,Italy
5.9,1015,1041,Italy
6.7,1085,1097,Italy
6.2,1195,1116,Italy
4.2,1008,1230,Italy
7.9,2166,792,Italy
16.8,640,1173,Italy
16.8,640,1077,Italy
16.8,640,1077,Italy
16.8,640,1173,Italy
16.8,640,1077,Italy
16.8,640,1091,Italy
16.8,640,1009,Italy
16.8,640,955,Italy
16.8,640,941,Italy
13,700,228,Italy
13,700,229,Italy
15,1544,1299,Japan
15,1544,774,Japan
16.2,1970,618,Japan
16.2,1970,316,Japan
16.2,1970,507,Japan
16.2,1970,805,Japan
16.2,1970,499,Japan
16.2,1970,835,Japan
16.2,1970,592,Japan
16.2,1970,701,Japan
9.7,2060,880,Japan
9.7,2060,796,Japan
9.7,2060,943,Japan
12.1,1666,536,Japan
15.3,2663,468,Japan
6.1,2175,754,Japan
6.1,2175,849,Japan
7.3,1250,665,Japan
7.3,1250,1153,Japan
7.3,1250,720,Japan
7.3,1250,902,Japan
6.5,1200,878,Japan
6.1,2175,1060,Japan
7.2,2275,726,Japan
7.2,2275,906,Japan
7.2,2275,821,Japan
7.2,2275,870,Japan
7.2,2275,817,Japan
7.3,2400,906,Japan
7.3,2400,821,Japan
7.3,2400,870,Japan
7.3,2400,817,Japan
7.3,2400,772,Japan
15.5,1449,588,Japan
15.5,1449,575,Japan
15.4,2160,393,Japan
15.4,2160,651,Japan
15.4,2160,685,Japan
15.4,2160,676,Japan
10.6,1734,690,Japan
10.6,1734,680,Japan
7.1,1500,934,Japan
7.1,1500,934,Japan
1.6,324,366,Kazakhstan
1.6,324,428,Kazakhstan
1.6,324,487,Kazakhstan
1.6,324,551,Kazakhstan
6.3,1578,1123,Korea
6.3,1578,1123,Korea
6.3,1578,1070,Korea
6.3,1578,1109,Korea
11.8,1370,1246,Korea
10.2,1365,1107,Korea
27,2740,1986,Malaysia
30,2200,2939,Malaysia
30,2200,3450,Malaysia
19.3,2081,436,Mexico
19.3,2081,1072,Mexico
27,5000,812,Micronesia
27,5000,814,Micronesia
27,4800,961,Micronesia
10.8,658,950,New Zealand
10.8,547,370,New Zealand
10.8,640,440,New Zealand
9.8,2000,650,New Zealand
12.2,612,1671,New Zealand
12.2,612,1895,New Zealand
11.3,3400,908,New Zealand
-5.7,180,152,Norway
-5.7,180,103,Norway
-5.7,180,176,Norway
27,2725,1450,Panama
26.5,1850,1985,Panama
26.5,1850,2116,Panama
26.5,1850,1819,Panama
26,2600,3141,Panama
26,2600,1287,Panama
26,2600,1968,Panama
25,1200,1084,Congo
25,1200,887,Congo
5.4,670,380,Russia
5.4,670,190,Russia
5.4,670,640,Russia
5.4,670,475,Russia
3.7,493,281,Russia
3.7,493,277,Russia
5.4,670,684,Russia
5.4,670,906,Russia
5.4,670,660,Russia
5.4,670,591,Russia
-0.8,440,120,Russia
-0.8,440,260,Russia
-0.8,440,240,Russia
-0.8,440,260,Russia
-10,237,225,Russia
-10,237,119,Russia
-10,237,184,Russia
-10,237,273,Russia
-10,237,27,Russia
5.5,670,613,Russia
5.5,670,580,Russia
5.5,670,671,Russia
5.5,670,845,Russia
12.8,1322,884,South Korea
12.8,1322,1242,South Korea
12.8,1322,734,South Korea
12.8,1322,796,South Korea
12.8,1322,892,South Korea
12.8,1322,921,South Korea
12.8,1322,821,South Korea
12.8,1322,908,South Korea
12.8,1322,956,South Korea
10.9,1295,1020,South Korea
10.9,1295,1020,South Korea
12.9,1479,573,South Korea
12.9,1479,573,South Korea
11.3,1518,621,South Korea
11.3,1518,745,South Korea
11.3,1518,696,South Korea
11.5,1436,914,South Korea
11.5,1436,856,South Korea
11.5,1436,625,South Korea
11.8,1370,1264,South Korea
12,547,1069,Spain
12,547,657,Spain
12,902,727,Spain
12,687,859,Spain
12,687,397,Spain
6.5,700,494,Spain
15,869,2548,Spain
15,869,816,Spain
15,869,727,Spain
15,869,538,Spain
15,869,737,Spain
13.8,388,241,Spain
14.2,386,591,Spain
14.2,386,637,Spain
14.2,386,680,Spain
14.2,386,654,Spain
5.5,527,98,Sweden
5.5,527,149,Sweden
1,600,275,Sweden
5.5,527,1036,Sweden
9,1200,1988,Switzerland
1.4,1050,300,Switzerland
1.4,1050,350,Switzerland
1.4,1050,470,Switzerland
8.4,930,783,Switzerland
8.4,930,901,Switzerland
8.4,930,752,Switzerland
8.4,930,1128,Switzerland
8.4,930,1075,Switzerland
8.4,930,847,Switzerland
8.4,930,1137,Switzerland
8.4,930,922,Switzerland
8.4,930,701,Switzerland
8.4,930,778,Switzerland
4.7,1454,738,Switzerland
4.7,1454,731,Switzerland
4.7,1454,785,Switzerland
4.7,1454,679,Switzerland
4.7,1454,700,Switzerland
7,1965,435,Switzerland
7,1965,442,Switzerland
7,1965,490,Switzerland
7,1965,411,Switzerland
7,1965,431,Switzerland
8.4,1106,665,Switzerland
8.4,1106,638,Switzerland
8.4,1106,572,Switzerland
8.4,1106,619,Switzerland
8.4,1106,573,Switzerland
12.7,5000,176,Taiwan
8,970,529,United Kingdom
8.3,849,1246,United Kingdom
5.8,1953,75,United Kingdom
5.8,1953,95,United Kingdom
5.8,1953,85,United Kingdom
5.8,1953,90,United Kingdom
5.8,1953,64,United Kingdom
5.8,1953,73,United Kingdom
5.8,1953,74,United Kingdom
10.7,800,1105,United Kingdom
9.4,780,791,United Kingdom
9.4,780,697,United Kingdom
9.4,780,760,United Kingdom
9.4,780,713,United Kingdom
20.6,2200,1024,Venezuala
20.6,2200,1241,Venezuala
20.6,2200,896,Venezuala
20.6,2200,1063,Venezuala
20.6,2200,1130,Venezuala
20.6,2200,980,Venezuala
20.6,2200,972,Venezuala
20.6,2200,990,Venezuala
20.6,2200,1096,Venezuala
20.6,2200,1165,Venezuala
20.6,2200,1634,Venezuala
20.6,2200,1317,Venezuala
